id,scholarship_id,discipline
277,230,Multidisciplinary
278,231,Multidisciplinary
279,234,Multidisciplinary
280,235,Multidisciplinary
281,236,Multidisciplinary
282,237,Multidisciplinary
283,239,Multidisciplinary
284,240,Multidisciplinary
285,246,Multidisciplinary
286,247,Multidisciplinary
287,248,Multidisciplinary
288,249,Multidisciplinary
289,250,Multidisciplinary
290,251,Multidisciplinary
291,253,Multidisciplinary
292,254,Multidisciplinary
293,255,Multidisciplinary
294,256,Multidisciplinary
295,257,Multidisciplinary
296,258,Multidisciplinary
297,259,Multidisciplinary
298,260,Multidisciplinary
299,261,Multidisciplinary
300,264,Multidisciplinary
301,265,Multidisciplinary
302,266,Multidisciplinary
303,267,Multidisciplinary
304,268,Multidisciplinary
305,269,Multidisciplinary
306,270,Multidisciplinary
307,272,Multidisciplinary
308,273,Multidisciplinary
309,274,Multidisciplinary
310,275,Multidisciplinary
311,277,Multidisciplinary
312,279,Multidisciplinary
313,281,Multidisciplinary
314,283,Multidisciplinary
315,285,Multidisciplinary
316,286,Multidisciplinary
317,290,Multidisciplinary
318,292,Multidisciplinary
319,295,Multidisciplinary
320,296,Multidisciplinary
321,297,Multidisciplinary
322,299,Multidisciplinary
323,300,Multidisciplinary
324,302,Multidisciplinary
325,303,Multidisciplinary
326,308,Multidisciplinary
327,309,Multidisciplinary
328,310,Multidisciplinary
329,311,Multidisciplinary
330,312,Multidisciplinary
331,313,Multidisciplinary
332,314,Multidisciplinary
333,315,Multidisciplinary
334,316,Multidisciplinary
335,317,Multidisciplinary
336,319,Multidisciplinary
337,321,Multidisciplinary
338,322,Multidisciplinary
339,323,Multidisciplinary
340,325,Multidisciplinary
341,327,Multidisciplinary
342,328,Multidisciplinary
343,332,Multidisciplinary
344,333,Multidisciplinary
345,334,Multidisciplinary
346,335,Multidisciplinary
347,338,Multidisciplinary
348,339,Multidisciplinary
349,341,Multidisciplinary
350,342,Multidisciplinary
351,343,Multidisciplinary
352,344,Multidisciplinary
353,346,Multidisciplinary
354,347,Multidisciplinary
355,348,Multidisciplinary
356,351,Multidisciplinary
357,354,Multidisciplinary
358,355,Multidisciplinary
359,357,Multidisciplinary
360,359,Multidisciplinary
361,360,Multidisciplinary
362,362,Multidisciplinary
363,363,Multidisciplinary
364,364,Multidisciplinary
365,369,Multidisciplinary
366,370,Multidisciplinary
367,373,Multidisciplinary
368,374,Multidisciplinary
369,375,Multidisciplinary
370,377,Multidisciplinary
371,378,Multidisciplinary
372,380,Multidisciplinary
373,382,Multidisciplinary
374,383,Multidisciplinary
375,386,Multidisciplinary
376,387,Multidisciplinary
377,388,Multidisciplinary
378,391,Multidisciplinary
379,392,Multidisciplinary
380,393,Multidisciplinary
381,394,Multidisciplinary
382,395,Multidisciplinary
383,396,Multidisciplinary
384,397,Multidisciplinary
385,399,Multidisciplinary
386,401,Multidisciplinary
387,402,Multidisciplinary
388,403,Multidisciplinary
389,404,Multidisciplinary
390,405,Multidisciplinary
391,406,Multidisciplinary
392,407,Multidisciplinary
393,409,Multidisciplinary
394,411,Multidisciplinary
395,412,Multidisciplinary
396,413,Multidisciplinary
397,414,Multidisciplinary
398,415,Multidisciplinary
399,416,Multidisciplinary
400,419,Multidisciplinary
401,420,Multidisciplinary
402,421,Multidisciplinary
403,422,Multidisciplinary
404,423,Multidisciplinary
405,424,Multidisciplinary
406,425,Multidisciplinary
407,426,Multidisciplinary
408,427,Multidisciplinary
409,433,Multidisciplinary
410,434,Multidisciplinary
411,436,Multidisciplinary
412,437,Multidisciplinary
413,438,Multidisciplinary
414,439,Multidisciplinary
415,441,Multidisciplinary
416,442,Multidisciplinary
417,444,Multidisciplinary
418,446,Multidisciplinary
419,447,Multidisciplinary
420,454,Multidisciplinary
421,455,Multidisciplinary
422,457,Multidisciplinary
423,458,Multidisciplinary
424,459,Multidisciplinary
425,460,Multidisciplinary
426,462,Multidisciplinary
427,463,Multidisciplinary
428,465,Multidisciplinary
429,466,Multidisciplinary
430,467,Multidisciplinary
431,468,Multidisciplinary
432,470,Multidisciplinary
433,471,Multidisciplinary
434,472,Multidisciplinary
435,473,Multidisciplinary
436,474,Multidisciplinary
437,475,Multidisciplinary
438,478,Multidisciplinary
439,479,Multidisciplinary
440,480,Multidisciplinary
441,481,Multidisciplinary
442,484,Multidisciplinary
443,492,Multidisciplinary
444,493,Multidisciplinary
445,494,Multidisciplinary
446,495,Multidisciplinary
447,497,Multidisciplinary
448,498,Multidisciplinary
449,502,Multidisciplinary
450,503,Multidisciplinary
451,504,Multidisciplinary
452,509,Multidisciplinary
453,511,Multidisciplinary
454,512,Multidisciplinary
455,514,Multidisciplinary
456,515,Multidisciplinary
457,516,Multidisciplinary
458,518,Multidisciplinary
459,519,Multidisciplinary
460,520,Multidisciplinary
461,525,Multidisciplinary
